chemsys,mp_id,formula,mp_form_energy,mp_e_above_hull,mp_on_hull,MatterSim_form_energy,MatterSim_e_above_hull,MatterSim_on_hull,change
Fe-V,mp-1216347,VFe,-0.103579,0.046142,False,-0.072045,0.040086,False,
Fe-V,mp-1216352,VFe3,-0.055534,0.072773,False,-0.019645,0.047019,False,
Fe-V,mp-1245108,Fe,0.279455,0.279455,False,0.19178,0.19178,False,
Fe-V,mp-1271068,Fe,0.01707,0.01707,False,0.0,0.0,True,GAINED
Fe-V,mp-1271128,Fe,0.099135,0.099135,False,0.128021,0.128021,False,
Fe-V,mp-1271198,Fe,0.054992,0.054992,False,0.137537,0.137537,False,
Fe-V,mp-13,Fe,0.0,0.0,True,0.0,0.0,True,
Fe-V,mp-1335,VFe,-0.127012,0.02271,False,-0.112131,0.0,True,GAINED
Fe-V,mp-136,Fe,0.097806,0.097806,False,0.139941,0.139941,False,
Fe-V,mp-146,V,0.0,0.0,True,0.0,0.0,True,
Fe-V,mp-150,Fe,0.148365,0.148365,False,0.135906,0.135906,False,
Fe-V,mp-2647074,V,0.253785,0.253785,False,0.25646,0.25646,False,
Fe-V,mp-568345,Fe,0.761412,0.761412,False,0.725552,0.725552,False,
Fe-V,mp-8632,V,0.24714,0.24714,False,0.255115,0.255115,False,
Fe-V,mp-866134,VFe3,-0.128307,0.0,True,-0.066664,0.0,True,
Fe-Y,mp-1096950,Fe,0.476699,0.476699,False,0.528501,0.528501,False,
Fe-Y,mp-1102392,YFe3,-0.060966,0.0,True,-0.072483,0.0,True,
Fe-Y,mp-1104222,YFe12,0.000626,0.020265,False,0.000489,0.02503,False,
Fe-Y,mp-1105569,Y2Fe17,-0.006642,0.020232,False,-0.017488,0.016094,False,
Fe-Y,mp-112,Y,0.00355,0.00355,False,5e-06,5e-06,True,GAINED
Fe-Y,mp-11385,YFe5,-0.04255,0.0,True,-0.053172,0.0,True,
Fe-Y,mp-1178773,YFe2,-0.060391,0.002047,False,-0.069154,2e-06,True,GAINED
Fe-Y,mp-1178900,YFe2,-0.059446,0.002992,False,-0.06915,6e-06,True,GAINED
Fe-Y,mp-1187717,Y,0.006933,0.006933,False,3e-06,3e-06,True,GAINED
Fe-Y,mp-1187739,Y,0.0,0.0,True,3e-06,3e-06,True,
Fe-Y,mp-1192321,YFe3,-0.060356,0.00061,False,-0.072139,0.000344,False,
Fe-Y,mp-1194030,Fe,0.175289,0.175289,False,0.174391,0.174391,False,
Fe-Y,mp-1196012,Y2Fe17,-0.007878,0.018996,False,-0.016346,0.017237,False,
Fe-Y,mp-1245108,Fe,0.279455,0.279455,False,0.19178,0.19178,False,
Fe-Y,mp-1271068,Fe,0.01707,0.01707,False,0.0,0.0,True,GAINED
Fe-Y,mp-1271128,Fe,0.099135,0.099135,False,0.128021,0.128021,False,
Fe-Y,mp-1271198,Fe,0.054992,0.054992,False,0.137537,0.137537,False,
Fe-Y,mp-13,Fe,0.0,0.0,True,0.0,0.0,True,
Fe-Y,mp-13412,Y3Fe29,-0.002934,0.021,False,-0.009327,0.020582,False,
Fe-Y,mp-136,Fe,0.097806,0.097806,False,0.139941,0.139941,False,
Fe-Y,mp-150,Fe,0.148365,0.148365,False,0.135906,0.135906,False,
Fe-Y,mp-1570,YFe2,-0.062438,0.0,True,-0.069156,0.0,True,
Fe-Y,mp-30641,Y6Fe23,-0.04159,0.00985,False,-0.065627,0.0,True,GAINED
Fe-Y,mp-568345,Fe,0.761412,0.761412,False,0.725552,0.725552,False,
Fe-Y,mp-9,Y,0.023963,0.023963,False,0.0,0.0,True,GAINED
Fe-Zn,mp-1096950,Fe,0.476699,0.476699,False,0.528501,0.528501,False,
Fe-Zn,mp-1187812,Zn,0.01085,0.01085,False,0.001415,0.001415,False,
Fe-Zn,mp-1194030,Fe,0.175289,0.175289,False,0.174391,0.174391,False,
Fe-Zn,mp-1207450,Zn9Fe4,-0.043228,0.0,True,-0.05275,0.0,True,
Fe-Zn,mp-1215473,ZnFe,-0.008659,0.022561,False,-0.002264,0.035833,False,
Fe-Zn,mp-1215526,ZnFe3,0.019976,0.035586,False,0.01615,0.035199,False,
Fe-Zn,mp-1215649,Zn13Fe,0.071132,0.101978,False,0.038684,0.066936,False,
Fe-Zn,mp-1215735,Zn10Fe3,-0.033192,0.006005,False,-0.0308,0.013975,False,
Fe-Zn,mp-1215884,Zn9Fe4,0.040988,0.084216,False,0.030707,0.083458,False,
Fe-Zn,mp-1244987,Zn,0.058375,0.058375,False,0.050654,0.050654,False,
Fe-Zn,mp-1245093,Zn,0.055069,0.055069,False,0.051379,0.051379,False,
Fe-Zn,mp-1245108,Fe,0.279455,0.279455,False,0.19178,0.19178,False,
Fe-Zn,mp-1245184,Zn,0.048852,0.048852,False,0.049276,0.049276,False,
Fe-Zn,mp-1245266,Zn,0.052316,0.052316,False,0.051876,0.051876,False,
Fe-Zn,mp-1271068,Fe,0.01707,0.01707,False,0.0,0.0,True,GAINED
Fe-Zn,mp-1271128,Fe,0.099135,0.099135,False,0.128021,0.128021,False,
Fe-Zn,mp-1271198,Fe,0.054992,0.054992,False,0.137537,0.137537,False,
